,Comunidad Autónoma,Año,Partido Político Ganador,Derechas o Izquierdas
0,Aragón,2015,PSOE,Izquierdas
1,Asturias,2015,PSOE,Izquierdas
2,Islas Baleares,2015,PSOE,Izquierdas
3,Canarias,2015,CC,Izquierdas
4,Cantabria,2015,PRC,Izquierdas
5,Castilla y León,2015,PP,Derechas
6,Castilla-La Mancha,2015,PSOE,Izquierdas
7,Comunidad de Madrid,2015,PP,Derechas
8,Comunidad Valenciana,2015,PSOE,Izquierdas
9,Extremadura,2015,PSOE,Izquierdas
10,La Rioja,2015,PP,Derechas
11,Navarra,2015,GBai,Izquierdas
12,Región de Murcia,2015,PP,Derechas
13,Ceuta,2015,PP,Derechas
14,Melilla,2015,PP,Derechas
15,Aragón,2019,PSOE,Izquierdas
16,Asturias,2019,PSOE,Izquierdas
17,Canarias,2019,PSOE,Izquierdas
18,Cantabria,2019,PRC,Izquierdas
19,Castilla y León,2019,PP,Derechas
20,Castilla-La Mancha,2019,PSOE,Izquierdas
21,Extremadura,2019,PSOE,Izquierdas
22,Islas Baleares,2019,PSOE,Izquierdas
23,Comunidad de Madrid,2019,PP,Derechas
24,Comunidad Valenciana,2019,PP,Izquierdas
25,Región de Murcia,2019,PSOE,Derechas
26,Navarra,2019,PSOE,Izquierdas
27,La Rioja,2019,PSOE,Izquierdas
28,Ceuta,2019,PP,Derechas
29,Melilla,2019,PP,Derechas
